Architecture/PV (kW),Architecture/G1500,Architecture/1kWh LA,Architecture/Grid (kW),Architecture/Electrolyzer (kW),Architecture/HTank (kg),Architecture/Converter (kW),Architecture/Dispatch,Cost/NPC ($),Cost/COE ($),Cost/Operating cost ($/yr),Cost/Initial capital ($),System/Ren Frac (%),System/Total Fuel (L/yr),PV/Capital Cost ($),PV/Production (kWh/yr),G1500/Capital Cost ($),G1500/Production (kWh/yr),G1500/O&M Cost ($),1kWh LA/Autonomy (hr),1kWh LA/Annual Throughput (kWh/yr),1kWh LA/Nominal Capacity (kWh),1kWh LA/Usable Nominal Capacity (kWh),Converter/Rectifier Mean Output (kW),Converter/Inverter Mean Output (kW),Grid/Energy Purchased (kWh),Grid/Energy Sold (kWh)
50000,394,5300000,999999,400000,160000,590000,CC,7.55E+09,5.426629,1.56E+08,5.53E+09,98.12913,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,164968,296.436,2013002,9.88E+07
50000,394,5300000,999999,400000,170000,590000,LF,7.58E+09,5.512507,1.56E+08,5.56E+09,99.27503,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,164964.6,290.6638,770897.1,9.76E+07
50000,394,5300000,999999,400000,170000,590000,CC,7.58E+09,5.47342,1.56E+08,5.56E+09,98.1207,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,165014.9,290.6638,2013002,9.84E+07
50000,394,5300000,999999,400000,180000,590000,LF,7.61E+09,5.560483,1.56E+08,5.59E+09,99.2717,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,165016.5,289.6003,770897.1,9.71E+07
50000,394,5300000,999999,400000,180000,590000,CC,7.61E+09,5.520867,1.56E+08,5.59E+09,98.1121,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,165066.8,289.6003,2013002,9.79E+07
50000,394,5300000,999999,400000,190000,590000,LF,7.64E+09,5.608938,1.56E+08,5.62E+09,99.26833,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,165069,289.229,770897.1,9.66E+07
50000,394,5300000,999999,400000,190000,590000,CC,7.64E+09,5.568785,1.56E+08,5.62E+09,98.10342,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,165119.4,289.229,2013002,9.74E+07
50000,394,5300000,999999,400000,200000,590000,LF,7.67E+09,5.65783,1.56E+08,5.65E+09,99.26492,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,165121.3,288.5775,770897.1,9.61E+07
50000,394,5300000,999999,400000,200000,590000,CC,7.67E+09,5.617131,1.56E+08,5.65E+09,98.09466,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,165171.6,288.5775,2013002,9.69E+07
50000,394,5300000,999999,400000,300000,590000,LF,7.98E+09,6.173201,1.57E+08,5.95E+09,99.22903,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,165648,285.7088,770897.1,9.12E+07
